#,Song,Artist,Notes,Rating
1,Underdog,Alicia Keys,This is the song Mark and I were talking about last night. You said you weren't a fan.,5
2,Godzilla,Eminem feat. Juice WRLD,,5
3,Darkness,Eminem,,5
4,Leaving Heaven,Eminem feat. Skylar Grey,,5
5,Yah Yah,"Eminem feat. Royce da 5'9"", Black Thought, Q-Tip & Denaun)",,5
6,Stepdad,Eminem,,5
7,Marsh,Eminem,,5
8,Shut Up and Kiss Me,Echosmith,,4
9,Where Do We Go When We Die,Quinn Lewis,,4
10,The Best,AWOLNATION,,4
11,This Land (Remix),"Gary Clark Jr., The Roots feat. Black Thought",,4
12,Know Your Worth,"Khalid, Disclosure",,3
13,Believe,Meek Mill feat. Justin Timberlake,,4
14,No Commas,D Smoke,,3
15,Lost in Yesterday,Tame Impala,,3
16,No Time To Die,Billie Eilish,,4
17,No Squares,"Stunna Gang, Statik Selektah feat. Haile Supreme",,4
18,Wildflower,The National Parks,,4
19,Oh My My,Blue October,,4
20,Halfway Dead,Steve Aoki feat. Global Dan & Travis Barker,,5
21,It's All Love,"Anderson .Paak, Justin Timberlake, Mary J. Blige, George Clinton",,5
22,A Man Who Loves You,Blessid Union of Souls,,3
23,Will,Joyner Lucas,The music video gets 5 stars,5
24,Will (Remix),Joyner Lucas,The evolution of this song and every re-listen makes it better,5
25,Gametime,Wildstyle,,5
26,Actions,John Legend,,3
27,Finally,Joyner Lucas feat. Chris Brown,,4
28,Some Kind of Disaster,All Time Low,,4
29,Sleeping In,All Time Low,,4
30,Level of Concern,twenty one pilots,,4
31,Lowlife,Neck Deep,,2
32,Mindreader,A Day to Remember,,3
33,Moments Like This (Acoustic),MxPx,,3
34,Hero,Weezer,,3
35,Stuck with U,"Ariana Grande, Justin Bieber",,4
36,This Is How U Feel,Loote,,5
37,In Your Eyes (Remix),The Weeknd feat. Doja Cat,,3
38,"Ok, All Right",David Archuleta,,4
39,Future Self,David Archuleta,,3
40,SKY,Russ feat. Boogie,,3
41,Hollywood Park,The Airborne Toxic Event,,3
42,Manic Monday,"Billie Joe Armstrong, Green Day",,3
43,Everything Changes in the End,Vistas,,3
44,All Together Now,OK Go,,4
45,NEWS TODAY,Black Eyed Peas,,3
46,Greatest of All Time,New Found Glory,,3
47,Caution,The Killers,,3
48,The Adventures of Moon Man & Slim Shady,"Kid Cudi, Eminem",,4
49,Open Door,Mike Shinoda,,5
50,DINOSAURS,"Lupe Fiasco, Kaelin Ellis",Never been a fan of Lupe Fiasco,2
51,the last great american dynasty,Taylor Swift,,3
52,Hit My Line,Logic,,4
53,A2Z,Logic,,5
54,Used To Like,Neon Trees,,3
55,WHAT YOU GONNA DO???,Bastille feat. Graham Coxon,,3
56,Let Me Down,Oliver Tree feat. blink-182,,4
57,Zombie,Lecrae,,4
58,Get On My Wave,Andrew McMahon In the Wilderness,,4
59,Fire in Bone,The Killers,,3
60,Crying Out Loud,State Champs,,4
61,Harder Than My Demons,Big Sean,,4
62,CUT EM IN,Anderson .Paak feat. Rick Ross,,4
63,Lucky Me,Big Sean,,3
64,Happiness,McFly,,4
65,Light One Write One,eLZhi,,4
66,Holy,Justin Bieber feat. Chance the Rapper,,5
67,survivin',Bastille,,4
68,forget me too,"Machine Gun Kelly, Halsey",,5
69,Steak Um,Black Thought feat. ScHoolboy Q,,5
70,Wtf is Self Care,Open Mike Eagle,,2
71,Rapture,D Smoke,,3
72,You're Not Special,McFly,,4
73,Deep End (Remix),Lecrae feat. Rapsody,Interesting line about high priests and keys,4
74,Therefore I Am,Billie Eilish,,4
75,Stockholm Syndrome,Russ feat. KXNG Crooked,Lots of great references. I love a song that does that.,5
76,Who's Gonna Stop Me,"Portugal. The Man feat. ""Weird Al"" Yankovic",It gets an extra star for Weird Al,5
77,The Healing,Statik Selektah feat. Black Thought,,3
78,Time,Statik Selektah feat. Jack Harlow,,3
79,Dog at the Door,Aesop Rock,,5
80,A.I. with the Braids,The Game,,4
81,Smack DVD,SAINt JHN feat. Kanye West,,4
82,Book of Rhymes,Eminem feat. DJ Premier,,5
83,Gnat,Eminem,,4
84,These Demons,Emimem feat. MAJ,Interesting with the reference to Derek Chauvin with his trial happening,4
85,Zeus,Eminem feat. White Gold,,5
86,Trump Vs Biden,Locksmith,,5
87,Once in a While (Mike Meets Jessie J),Mike Posner,,3
88,Calm Down,Busta Rhymes feat. Eminem,,4
